ik_success,success,planning_time_s,n_collision_checks,collision_check_time_s,condition,gate_mode,clutter_mode,gate_sep_m,trial
False,False,0.0,0,0.0,all_vhacd,vhacd,vhacd,0.15,0
True,False,0.0022272080095717683,2,0.0018207090033683926,all_vhacd,vhacd,vhacd,0.15,1
True,False,0.002508416000637226,2,0.002263917005620897,all_vhacd,vhacd,vhacd,0.15,2
False,False,0.0,0,0.0,all_vhacd,vhacd,vhacd,0.15,3
False,False,0.0,0,0.0,all_vhacd,vhacd,vhacd,0.15,4
False,False,0.0,0,0.0,all_vhacd,vhacd,vhacd,0.15,5
True,False,0.001256458999705501,2,0.0010061659995699301,all_vhacd,vhacd,vhacd,0.15,6
True,True,0.006819665999501012,22,0.005982458984362893,all_vhacd,vhacd,vhacd,0.15,7
True,True,0.09135420800885186,272,0.0721489479765296,all_vhacd,vhacd,vhacd,0.15,8
True,True,0.006350249997922219,22,0.005579209042480215,all_vhacd,vhacd,vhacd,0.15,9
True,True,0.09866091700678226,292,0.07643570099025965,all_vhacd,vhacd,vhacd,0.15,10
False,False,0.0,0,0.0,all_vhacd,vhacd,vhacd,0.15,11
True,False,0.0029603750008391216,2,0.0026769579999381676,all_vhacd,vhacd,vhacd,0.15,12
True,False,0.0013007500092498958,2,0.0010500830103410408,all_vhacd,vhacd,vhacd,0.15,13
False,False,0.0,0,0.0,all_vhacd,vhacd,vhacd,0.15,14
True,False,0.0034652079921215773,2,0.0031689169991295785,all_vhacd,vhacd,vhacd,0.15,15
True,True,2.197826959003578,1054,0.3303122097859159,all_vhacd,vhacd,vhacd,0.15,16
True,True,0.009819874991080724,32,0.008693705996847712,all_vhacd,vhacd,vhacd,0.15,17
False,False,0.0,0,0.0,all_vhacd,vhacd,vhacd,0.15,18
True,True,0.00961529099731706,32,0.008573373997933231,all_vhacd,vhacd,vhacd,0.15,19
True,False,0.0009764169953996316,2,0.0007257909892359748,all_vhacd,vhacd,vhacd,0.15,20
True,False,0.0009690420120023191,2,0.000721415999578312,all_vhacd,vhacd,vhacd,0.15,21
False,False,0.0,0,0.0,all_vhacd,vhacd,vhacd,0.15,22
True,True,0.006873332997201942,22,0.006035834972863086,all_vhacd,vhacd,vhacd,0.15,23
False,False,0.0,0,0.0,all_vhacd,vhacd,vhacd,0.15,24
True,True,0.009535459001199342,32,0.008482584002194926,all_vhacd,vhacd,vhacd,0.15,25
True,False,0.0010631659970385954,2,0.0008219160081353039,all_vhacd,vhacd,vhacd,0.15,26
True,True,0.009463458001846448,32,0.00840879297174979,all_vhacd,vhacd,vhacd,0.15,27
False,False,0.0,0,0.0,all_vhacd,vhacd,vhacd,0.15,28
True,True,0.10237583400157746,281,0.07488753800862469,all_vhacd,vhacd,vhacd,0.15,29
False,False,0.0,0,0.0,all_vhacd,vhacd,vhacd,0.15,30
True,True,0.09014904199284501,250,0.06828816719644237,all_vhacd,vhacd,vhacd,0.15,31
True,True,0.0066007080022245646,22,0.005820793012389913,all_vhacd,vhacd,vhacd,0.15,32
True,False,0.002382042002864182,2,0.002093458009767346,all_vhacd,vhacd,vhacd,0.15,33
False,False,0.0,0,0.0,all_vhacd,vhacd,vhacd,0.15,34
True,True,0.17345941699750256,473,0.13359482401574496,all_vhacd,vhacd,vhacd,0.15,35
False,False,0.0,0,0.0,all_vhacd,vhacd,vhacd,0.15,36
True,False,0.0020828749984502792,2,0.0018178330064984038,all_vhacd,vhacd,vhacd,0.15,37
True,True,0.007135499996365979,22,0.006325960959657095,all_vhacd,vhacd,vhacd,0.15,38
True,True,0.007496207996155135,22,0.006643497967161238,all_vhacd,vhacd,vhacd,0.15,39
False,False,0.0,0,0.0,all_vhacd,vhacd,vhacd,0.15,40
False,False,0.0,0,0.0,all_vhacd,vhacd,vhacd,0.15,41
True,True,0.007124000010662712,22,0.0062842899933457375,all_vhacd,vhacd,vhacd,0.15,42
False,False,0.0,0,0.0,all_vhacd,vhacd,vhacd,0.15,43
True,True,0.11283283401280642,344,0.09157767197757494,all_vhacd,vhacd,vhacd,0.15,44
False,False,0.0,0,0.0,all_vhacd,vhacd,vhacd,0.15,45
True,True,0.010076875012600794,32,0.008979918973636813,all_vhacd,vhacd,vhacd,0.15,46
False,False,0.0,0,0.0,all_vhacd,vhacd,vhacd,0.15,47
True,False,0.0012217079929541796,2,0.0009720420057419688,all_vhacd,vhacd,vhacd,0.15,48
False,False,0.0,0,0.0,all_vhacd,vhacd,vhacd,0.15,49
False,False,0.0,0,0.0,all_box,box,box,0.15,0
True,False,0.0011546669993549585,2,0.000859875013702549,all_box,box,box,0.15,1
True,False,0.000978374999249354,2,0.0007039169868221506,all_box,box,box,0.15,2
False,False,0.0,0,0.0,all_box,box,box,0.15,3
False,False,0.0,0,0.0,all_box,box,box,0.15,4
False,False,0.0,0,0.0,all_box,box,box,0.15,5
True,False,0.0010069169948110357,2,0.0007396239961963147,all_box,box,box,0.15,6
True,True,0.007384541997453198,22,0.006545708994963206,all_box,box,box,0.15,7
True,False,0.0009443749877391383,2,0.0007030000124359503,all_box,box,box,0.15,8
True,True,0.007219417006126605,22,0.006357250007567927,all_box,box,box,0.15,9
True,True,0.10638158400251996,290,0.082616543120821,all_box,box,box,0.15,10
False,False,0.0,0,0.0,all_box,box,box,0.15,11
True,False,0.0009752499900059775,2,0.0007287490007001907,all_box,box,box,0.15,12
True,False,0.0009292500035371631,2,0.000700957010849379,all_box,box,box,0.15,13
False,False,0.0,0,0.0,all_box,box,box,0.15,14
True,False,0.0010407080117147416,2,0.0007726259791525081,all_box,box,box,0.15,15
True,False,0.0010092079901369289,2,0.0007380409952020273,all_box,box,box,0.15,16
True,True,0.010582542003248818,32,0.009470162985962816,all_box,box,box,0.15,17
False,False,0.0,0,0.0,all_box,box,box,0.15,18
True,True,0.010092999989865348,32,0.009043124009622261,all_box,box,box,0.15,19
True,False,0.0008749169937800616,2,0.0006227919802768156,all_box,box,box,0.15,20
True,False,0.001033084001392126,2,0.0007732910016784444,all_box,box,box,0.15,21
False,False,0.0,0,0.0,all_box,box,box,0.15,22
True,True,0.007073874992784113,22,0.006229916005395353,all_box,box,box,0.15,23
False,False,0.0,0,0.0,all_box,box,box,0.15,24
True,True,0.009997542001656257,32,0.008937043996411376,all_box,box,box,0.15,25
True,False,0.0010878339962800965,2,0.0008105419983621687,all_box,box,box,0.15,26
True,True,0.01066658399940934,32,0.009566373002598993,all_box,box,box,0.15,27
False,False,0.0,0,0.0,all_box,box,box,0.15,28
True,True,0.007789375013089739,22,0.006744917060132138,all_box,box,box,0.15,29
False,False,0.0,0,0.0,all_box,box,box,0.15,30
True,False,0.0009036659903358668,2,0.0005962080176686868,all_box,box,box,0.15,31
True,False,0.0009606249950593337,2,0.0006485830090241507,all_box,box,box,0.15,32
True,False,0.0012069579970557243,2,0.0008951259951572865,all_box,box,box,0.15,33
False,False,0.0,0,0.0,all_box,box,box,0.15,34
True,True,0.1989924169902224,481,0.15174354499322362,all_box,box,box,0.15,35
False,False,0.0,0,0.0,all_box,box,box,0.15,36
True,False,0.0009554169955663383,2,0.0006368739996105433,all_box,box,box,0.15,37
True,True,0.0075164579902775586,22,0.006621376975090243,all_box,box,box,0.15,38
True,False,0.0009847499895840883,2,0.0006861669971840456,all_box,box,box,0.15,39
False,False,0.0,0,0.0,all_box,box,box,0.15,40
False,False,0.0,0,0.0,all_box,box,box,0.15,41
True,True,0.007266124986927025,22,0.006358958009514026,all_box,box,box,0.15,42
False,False,0.0,0,0.0,all_box,box,box,0.15,43
True,False,0.000904916989384219,2,0.0006511250103358179,all_box,box,box,0.15,44
False,False,0.0,0,0.0,all_box,box,box,0.15,45
True,True,0.010037957996246405,32,0.008980999948107637,all_box,box,box,0.15,46
False,False,0.0,0,0.0,all_box,box,box,0.15,47
True,True,0.010652458004187793,32,0.009556705990689807,all_box,box,box,0.15,48
False,False,0.0,0,0.0,all_box,box,box,0.15,49
False,False,0.0,0,0.0,mixed,vhacd,box,0.15,0
True,False,0.0011484999995445833,2,0.0008601250010542572,mixed,vhacd,box,0.15,1
True,False,0.0009999580070143566,2,0.0007040840137051418,mixed,vhacd,box,0.15,2
False,False,0.0,0,0.0,mixed,vhacd,box,0.15,3
False,False,0.0,0,0.0,mixed,vhacd,box,0.15,4
False,False,0.0,0,0.0,mixed,vhacd,box,0.15,5
True,False,0.001065958000253886,2,0.0007604579877806827,mixed,vhacd,box,0.15,6
True,True,0.007700041998759843,22,0.006744999991497025,mixed,vhacd,box,0.15,7
True,False,0.0010822499898495153,2,0.0007937079935800284,mixed,vhacd,box,0.15,8
True,True,0.006939500002772547,22,0.006117919008829631,mixed,vhacd,box,0.15,9
True,True,0.1063446250045672,292,0.08266272096079774,mixed,vhacd,box,0.15,10
False,False,0.0,0,0.0,mixed,vhacd,box,0.15,11
True,False,0.001064291995135136,2,0.0007732090016361326,mixed,vhacd,box,0.15,12
True,False,0.0009489590011071414,2,0.0006912079988978803,mixed,vhacd,box,0.15,13
False,False,0.0,0,0.0,mixed,vhacd,box,0.15,14
True,False,0.0011263750056969002,2,0.0008710840047569945,mixed,vhacd,box,0.15,15
True,True,0.8069378340005642,663,0.19939683019765653,mixed,vhacd,box,0.15,16
True,True,0.010126708002644591,32,0.00903746001131367,mixed,vhacd,box,0.15,17
False,False,0.0,0,0.0,mixed,vhacd,box,0.15,18
True,False,0.0011953750072279945,2,0.000936541982810013,mixed,vhacd,box,0.15,19
True,False,0.0010040000051958486,2,0.0007592909969389439,mixed,vhacd,box,0.15,20
True,False,0.0010014160070568323,2,0.000760875002015382,mixed,vhacd,box,0.15,21
False,False,0.0,0,0.0,mixed,vhacd,box,0.15,22
True,True,0.007297916003153659,22,0.006449211039580405,mixed,vhacd,box,0.15,23
False,False,0.0,0,0.0,mixed,vhacd,box,0.15,24
True,True,0.01028654100082349,32,0.00917808702797629,mixed,vhacd,box,0.15,25
True,False,0.0011160830035805702,2,0.0008585420000599697,mixed,vhacd,box,0.15,26
True,True,0.011133584004710428,32,0.009943627010216005,mixed,vhacd,box,0.15,27
False,False,0.0,0,0.0,mixed,vhacd,box,0.15,28
True,True,0.007128665994969197,22,0.006312000026809983,mixed,vhacd,box,0.15,29
False,False,0.0,0,0.0,mixed,vhacd,box,0.15,30
True,False,0.0008439590019406751,2,0.0005771249998360872,mixed,vhacd,box,0.15,31
True,False,0.0008041670080274343,2,0.0005674999993061647,mixed,vhacd,box,0.15,32
True,False,0.0009894169925246388,2,0.0007139990048017353,mixed,vhacd,box,0.15,33
False,False,0.0,0,0.0,mixed,vhacd,box,0.15,34
True,False,0.0008799579954938963,2,0.0006057919963495806,mixed,vhacd,box,0.15,35
False,False,0.0,0,0.0,mixed,vhacd,box,0.15,36
True,False,0.0009312079928349704,2,0.0006582490022992715,mixed,vhacd,box,0.15,37
True,True,0.007164291993831284,22,0.0063443739782087505,mixed,vhacd,box,0.15,38
True,True,0.08016904200485442,201,0.06045321188867092,mixed,vhacd,box,0.15,39
False,False,0.0,0,0.0,mixed,vhacd,box,0.15,40
False,False,0.0,0,0.0,mixed,vhacd,box,0.15,41
True,True,0.0073467080073896796,22,0.006485540958237834,mixed,vhacd,box,0.15,42
False,False,0.0,0,0.0,mixed,vhacd,box,0.15,43
True,False,0.0010211250046268106,2,0.0007288750057341531,mixed,vhacd,box,0.15,44
False,False,0.0,0,0.0,mixed,vhacd,box,0.15,45
True,True,0.01106733299093321,32,0.00987429499218706,mixed,vhacd,box,0.15,46
False,False,0.0,0,0.0,mixed,vhacd,box,0.15,47
True,False,0.0012892079976154491,2,0.0009506249916739762,mixed,vhacd,box,0.15,48
False,False,0.0,0,0.0,mixed,vhacd,box,0.15,49
