ik_success,success,planning_time_s,n_collision_checks,collision_check_time_s,geometry_mode,trial,mug_spacing
True,True,0.011125707998871803,32,0.009944584002369083,box,0,0.13
True,False,0.0011964169971179217,2,0.0008660839957883582,box,1,0.13
True,False,0.0010905410017585382,2,0.0007920000061858445,box,2,0.13
True,True,0.08627858299587388,228,0.06531228794483468,box,3,0.13
True,True,0.010026125004515052,32,0.008950083996751346,box,4,0.13
False,False,0.0,0,0.0,box,5,0.13
True,True,0.007316875009564683,22,0.00647187496360857,box,6,0.13
False,False,0.0,0,0.0,box,7,0.13
False,False,0.0,0,0.0,box,8,0.13
True,True,0.20013779200962745,380,0.11919895617756993,box,9,0.13
True,True,0.006980749996728264,22,0.006187998020322993,box,10,0.13
True,True,0.0068360830046003684,22,0.006070581992389634,box,11,0.13
True,True,0.007627541999681853,22,0.006783789984183386,box,12,0.13
True,False,0.000933834002353251,2,0.0006451660010498017,box,13,0.13
True,False,0.0009514579869573936,2,0.000709832995198667,box,14,0.13
True,True,0.007528082991484553,22,0.00670950100175105,box,15,0.13
True,True,0.010595542000373825,32,0.009526538022328168,box,16,0.13
True,True,0.007102040995960124,22,0.006324875968857668,box,17,0.13
False,False,0.0,0,0.0,box,18,0.13
True,False,0.000905958004295826,2,0.0006401249847840518,box,19,0.13
True,True,0.010372082993853837,32,0.009241708947229199,vhacd,0,0.13
True,True,0.15425541599688586,424,0.1189587911212584,vhacd,1,0.13
True,False,0.0017762089992174879,2,0.0015167090023169294,vhacd,2,0.13
True,True,0.007019749988103285,22,0.006196040034410544,vhacd,3,0.13
True,True,0.009637958006351255,32,0.00858295601210557,vhacd,4,0.13
False,False,0.0,0,0.0,vhacd,5,0.13
True,True,0.0071696249942760915,22,0.00638070899003651,vhacd,6,0.13
False,False,0.0,0,0.0,vhacd,7,0.13
False,False,0.0,0,0.0,vhacd,8,0.13
True,True,0.198747040994931,411,0.1234043349249987,vhacd,9,0.13
True,True,0.007100624992744997,22,0.0062832090188749135,vhacd,10,0.13
True,True,0.006737666990375146,22,0.00594521094171796,vhacd,11,0.13
True,True,0.007350709012825973,22,0.006512502048281021,vhacd,12,0.13
True,False,0.0009443329909117892,2,0.0006925000052433461,vhacd,13,0.13
True,False,0.0026142920105485246,2,0.002379749988904223,vhacd,14,0.13
True,True,0.0071092500002123415,22,0.006361710009514354,vhacd,15,0.13
True,True,0.00977012500516139,32,0.008678623038576916,vhacd,16,0.13
True,True,0.05502170899126213,129,0.037050571976578794,vhacd,17,0.13
False,False,0.0,0,0.0,vhacd,18,0.13
True,False,0.001297416994930245,2,0.001064707976183854,vhacd,19,0.13
True,True,0.010469875007402152,32,0.009383496013469994,box,0,0.14
True,False,0.0010466250096214935,2,0.0008017920044949278,box,1,0.14
True,False,0.0009506250062258914,2,0.0007065829850034788,box,2,0.14
True,True,0.08473387500271201,228,0.06415341797401197,box,3,0.14
True,True,0.010368792005465366,32,0.009285038962843828,box,4,0.14
False,False,0.0,0,0.0,box,5,0.14
True,True,0.007314457994652912,22,0.006478750976384617,box,6,0.14
False,False,0.0,0,0.0,box,7,0.14
False,False,0.0,0,0.0,box,8,0.14
True,True,0.19859737499791663,448,0.12720382584666368,box,9,0.14
True,True,0.007572791990241967,22,0.0067217079777037725,box,10,0.14
True,True,0.0072966669977176934,22,0.006497958005638793,box,11,0.14
True,True,0.007644792000064626,22,0.006797039008233696,box,12,0.14
True,False,0.0011037500080419704,2,0.0008177500130841509,box,13,0.14
True,False,0.0009692499879747629,2,0.0007182509871199727,box,14,0.14
True,True,0.007764417008729652,22,0.006938915030332282,box,15,0.14
True,True,0.01003945899719838,32,0.009022418962558731,box,16,0.14
True,True,0.007278915989445522,22,0.006394332041963935,box,17,0.14
False,False,0.0,0,0.0,box,18,0.14
True,False,0.0008718330063857138,2,0.0006172080029500648,box,19,0.14
True,True,0.011010582995368168,32,0.009873295028228313,vhacd,0,0.14
True,True,0.1645120000030147,421,0.12867870925401803,vhacd,1,0.14
True,False,0.0016219579993048683,2,0.0013582090032286942,vhacd,2,0.14
True,True,0.007342707991483621,22,0.006482750017312355,vhacd,3,0.14
True,True,0.010434833006002009,32,0.00933420802175533,vhacd,4,0.14
False,False,0.0,0,0.0,vhacd,5,0.14
True,True,0.007541041006334126,22,0.006684707012027502,vhacd,6,0.14
False,False,0.0,0,0.0,vhacd,7,0.14
False,False,0.0,0,0.0,vhacd,8,0.14
True,True,0.21210754099593032,444,0.1356065941072302,vhacd,9,0.14
True,True,0.00707733299350366,22,0.006295582978054881,vhacd,10,0.14
True,True,0.007125249991076998,22,0.006304665017523803,vhacd,11,0.14
True,True,0.007164708993514068,22,0.0063369579875143245,vhacd,12,0.14
True,False,0.0010898750042542815,2,0.0008196250128094107,vhacd,13,0.14
True,False,0.0027468750049592927,2,0.0024471249926136807,vhacd,14,0.14
True,True,0.00784074999683071,22,0.006987414977629669,vhacd,15,0.14
True,True,0.010146707994863391,32,0.009084331017220393,vhacd,16,0.14
True,True,0.0566921249992447,129,0.038468956990982406,vhacd,17,0.14
False,False,0.0,0,0.0,vhacd,18,0.14
True,False,0.0014674999983981252,2,0.0011952919885516167,vhacd,19,0.14
True,True,0.010365957990870811,32,0.009313458038377576,box,0,0.15
True,False,0.0011016659991582856,2,0.0008353330049430951,box,1,0.15
True,False,0.0010985830012941733,2,0.0007733340025879443,box,2,0.15
True,True,0.08519579100538976,228,0.06479149800725281,box,3,0.15
True,True,0.010351917007938027,32,0.009257998914108612,box,4,0.15
False,False,0.0,0,0.0,box,5,0.15
True,True,0.007208875002106652,22,0.006403168008546345,box,6,0.15
False,False,0.0,0,0.0,box,7,0.15
False,False,0.0,0,0.0,box,8,0.15
True,True,0.20492208399809897,449,0.1316929611057276,box,9,0.15
True,True,0.007108541991328821,22,0.006335871992632747,box,10,0.15
True,True,0.007654458997421898,22,0.006727333078742959,box,11,0.15
True,True,0.007216167010483332,22,0.006431041969335638,box,12,0.15
True,False,0.0010274169908370823,2,0.0007277090044226497,box,13,0.15
True,False,0.0010238749964628369,2,0.00077462600893341,box,14,0.15
True,True,0.007361458003288135,22,0.006568040975253098,box,15,0.15
True,True,0.011223875000723638,32,0.010063709065434523,box,16,0.15
True,True,0.00762800000666175,22,0.006762252043699846,box,17,0.15
False,False,0.0,0,0.0,box,18,0.15
True,False,0.0008722500060684979,2,0.0006179990014061332,box,19,0.15
True,True,0.010291041995515116,32,0.009229791976395063,vhacd,0,0.15
True,True,0.16445233298873063,422,0.1286786269483855,vhacd,1,0.15
True,False,0.0015730829909443855,2,0.001280084004974924,vhacd,2,0.15
True,True,0.007196291000582278,22,0.006376666991855018,vhacd,3,0.15
True,True,0.011694542001350783,32,0.010347870993427932,vhacd,4,0.15
False,False,0.0,0,0.0,vhacd,5,0.15
True,True,0.007378334004897624,22,0.006554249033797532,vhacd,6,0.15
False,False,0.0,0,0.0,vhacd,7,0.15
False,False,0.0,0,0.0,vhacd,8,0.15
True,True,0.22021562499867287,419,0.13924108703213278,vhacd,9,0.15
True,True,0.006912708005984314,22,0.006107291977968998,vhacd,10,0.15
True,True,0.007081500007188879,22,0.006247831028304063,vhacd,11,0.15
True,True,0.007125541000277735,22,0.006311831995844841,vhacd,12,0.15
True,False,0.0010075410100398585,2,0.000761208008043468,vhacd,13,0.15
True,False,0.0026460410008439794,2,0.002379915997153148,vhacd,14,0.15
True,True,0.007619125011842698,22,0.00674141600029543,vhacd,15,0.15
True,True,0.010592542006634176,32,0.009502875022008084,vhacd,16,0.15
True,True,0.058721667010104284,129,0.03995920903980732,vhacd,17,0.15
False,False,0.0,0,0.0,vhacd,18,0.15
True,False,0.0012104160123271868,2,0.0009562490013195202,vhacd,19,0.15
